meanRT,RT10prctile,Accuracy,Condition,SubjectID,Subjects_session,Unique_Session,N200amplitudes,N200latencies,RemoveN200,minBETAamplitudes,minBETAlatencies,RemoveminBETA,P300amplitudes,P300latencies,RemoveP300,minRPamplitudes,minRPlatencies,RemoveminRP
0.52684,0.36406,0.64384,5,148,2,14,-0.12791,0.18457,0,-0.54349,0.59543,1,0.060897,0.35742,0,-0.03165,0.0039023,0
0.50345,0.36953,0.625,6,148,2,14,-0.10059,0.18359,0,-0.11175,0.2048,1,0.12146,0.3584,0,-0.055975,0.080073,0
0.44138,0.35605,0.59155,1,150,1,15,-0.11382,0.21973,0,-0.11604,0.59543,1,0.037587,0.36523,0,-0.075129,0.13769,0
0.49502,0.39395,0.62821,2,150,1,15,-0.087778,0.2207,0,-0.19061,0.3757,0,0.027156,0.3877,0,-0.059348,0.14941,0
0.56968,0.45527,0.51899,3,150,1,15,-0.080194,0.2334,0,-0.065298,0.43918,0,0.039146,0.37207,0,-0.057902,0.26171,0
0.46761,0.37461,0.54688,4,150,1,15,-0.11722,0.22168,0,-0.020457,0.2048,1,0.07377,0.34961,0,-0.066109,0.097651,0
0.48889,0.3876,0.52632,5,150,1,15,-0.10917,0.22363,0,0.1087,0.2048,1,0.085539,0.33398,0,-0.069254,0.18359,0
0.5141,0.39062,0.725,6,150,1,15,-0.11454,0.21875,0,0.098032,0.39523,0,0.089063,0.33984,0,-0.064227,0.19042,0
0.45024,0.37637,0.66667,1,150,2,16,-0.11413,0.20801,0,-0.05077,0.34641,0,0.049086,0.38184,0,-0.077734,0.17089,0
0.48156,0.38223,0.64474,2,150,2,16,-0.1082,0.20508,0,0.01756,0.38059,0,0.062151,0.37598,0,-0.063712,0.23144,0
0.56102,0.44092,0.725,3,150,2,16,-0.092736,0.20605,0,0.034202,0.4343,0,0.042896,0.33984,0,-0.050518,0.26855,0
0.43147,0.36816,0.65714,4,150,2,16,-0.08791,0.20703,0,-0.13064,0.52707,0,0.093777,0.37109,0,-0.065736,0.055659,0
0.43782,0.3793,0.68657,5,150,2,16,-0.12064,0.21191,0,-0.036599,0.59543,1,0.089649,0.38574,0,-0.086188,0.16796,0
0.54073,0.42383,0.6625,6,150,2,16,-0.10606,0.21094,0,-0.14432,0.55637,0,0.081398,0.4248,0,-0.056547,0.2539,0
0.49919,0.38574,0.38462,1,151,1,17,-0.10972,0.17383,0,-0.04015,0.5759,0,0.044643,0.41992,0,-0.10115,0.0068319,0
0.54905,0.44355,0.70513,2,151,1,17,-0.088313,0.18066,0,0.048375,0.2048,1,0.037584,0.47852,0,-0.10376,0.026363,0
0.71049,0.48682,0.6625,3,151,1,17,-0.10593,0.20117,0,0.024076,0.2048,1,0.019011,0.3584,0,-0.083117,0.02148,0
0.49314,0.37695,0.71429,4,151,1,17,-0.12851,0.19238,0,-0.11975,0.27316,0,0.083539,0.3125,0,-0.072327,0.048823,0
0.57373,0.43799,0.725,5,151,1,17,-0.11695,0.19824,0,-0.10563,0.39523,0,0.023457,0.30469,0,-0.067921,0.10742,0
0.57006,0.40869,0.7125,6,151,1,17,-0.11219,0.19043,0,-0.17506,0.28293,0,0.041839,0.30566,0,-0.063312,0.16992,0
0.51407,0.41699,0.69231,1,151,2,18,-0.081867,0.18359,0,0.3618,0.34152,0,0.076135,0.46582,0,-0.032856,0.00097264,1
0.59813,0.46436,0.75,2,151,2,18,-0.11708,0.18555,0,-0.12678,0.59543,1,0.049011,0.43164,0,-0.10294,0.073237,0
0.56899,0.44238,0.825,3,151,2,18,-0.14372,0.17773,0,0.099056,0.54172,0,0.043104,0.43848,0,-0.077549,0.043941,0
0.49534,0.39307,0.82895,4,151,2,18,-0.12952,0.17383,0,-0.10786,0.31223,0,0.051477,0.43066,0,-0.06998,0.49999,1
0.51367,0.42461,0.88608,5,151,2,18,-0.13126,0.17773,0,0.02512,0.59543,1,0.061011,0.43457,0,-0.044949,0.13671,0
0.56863,0.45937,0.87342,6,151,2,18,-0.12323,0.18262,0,-0.21175,0.2634,0,0.075098,0.42871,0,-0.044981,0.26855,0
0.51904,0.38184,0.52857,1,152,1,19,-0.11407,0.20605,0,-0.16003,0.2048,1,0.041822,0.53516,0,-0.041707,0.00097264,1
0.60598,0.4373,0.6962,2,152,1,19,-0.13919,0.20605,0,-0.20413,0.59543,1,0.031373,0.37891,0,-0.077006,0.058589,0
0.71287,0.50293,0.6375,3,152,1,19,-0.12853,0.19824,0,-0.26339,0.31711,0,0.021173,0.58301,0,-0.069695,0.15331,0
0.47957,0.37461,0.56338,4,152,1,19,-0.091664,0.19434,0,-0.082327,0.59543,1,0.058246,0.44531,0,-0.027915,0.00097264,1
0.60833,0.47168,0.7,5,152,1,19,-0.079687,0.19629,0,-0.19051,0.51242,0,0.052503,0.46387,0,-0.094863,0.07519,0
0.57374,0.42773,0.7,6,152,1,19,-0.12789,0.19141,0,0.058869,0.35617,0,0.051189,0.50195,0,-0.070574,0.056636,0
0.47053,0.38809,0.5,1,152,2,20,-0.11881,0.18555,0,-0.153,0.2634,0,0.037118,0.58398,0,-0.064302,0.025386,0
0.48562,0.38574,0.65333,2,152,2,20,-0.089436,0.18457,0,-0.15351,0.2048,1,0.057538,0.55762,0,-0.079713,0.045894,0
0.51642,0.42188,0.58442,3,152,2,20,-0.094844,0.19531,0,-0.26903,0.26828,0,0.050188,0.38574,0,-0.088569,0.074214,0
0.47899,0.37207,0.60938,4,152,2,20,-0.10064,0.17383,0,0.020993,0.405,0,0.03459,0.62793,0,-0.072248,0.027339,0
0.49687,0.38145,0.52055,5,152,2,20,-0.13958,0.19141,0,-0.16292,0.20969,0,0.043893,0.66602,0,-0.051707,0.051753,0
0.53057,0.40303,0.54167,6,152,2,20,-0.10539,0.19238,0,-0.059026,0.21457,0,0.043436,0.64746,0,-0.011739,0.00097264,1
0.49337,0.37793,0.42857,1,153,1,21,-0.075057,0.20703,0,-0.11838,0.2341,0,0.09219,0.38281,0,-0.051643,0.00097264,1
0.54044,0.37383,0.53521,2,153,1,21,-0.10579,0.20508,0,0.086159,0.405,0,0.068231,0.37598,0,-0.074509,0.13671,0
0.60997,0.4249,0.64865,3,153,1,21,-0.091901,0.19531,0,-0.079362,0.58078,0,0.061722,0.37305,0,-0.11207,0.074214,0
0.58856,0.41016,0.60274,4,153,1,21,-0.17,0.20312,0,0.059093,0.25363,0,0.062313,0.36621,0,-0.092389,0.25195,0
0.56675,0.38535,0.55882,5,153,1,21,-0.13585,0.19336,0,-0.072656,0.28781,0,0.093914,0.34863,0,-0.11126,0.11328,0
0.53027,0.38857,0.51562,6,153,1,21,-0.12942,0.19824,0,0.087592,0.55148,0,0.058,0.36719,0,-0.079779,0.048823,0
0.49052,0.375,0.44262,1,153,2,22,-0.10238,0.19141,0,-0.19419,0.50754,0,0.08333,0.34961,0,-0.065223,0.059565,0
0.47789,0.38867,0.72727,2,153,2,22,-0.15139,0.19727,0,0.11119,0.30246,0,0.05605,0.3623,0,-0.061897,0.090815,0
0.60443,0.46699,0.51899,3,153,2,22,-0.12154,0.19727,0,-0.23424,0.32199,0,0.07516,0.33789,0,-0.05639,0.20507,0
0.45064,0.37656,0.58065,4,153,2,22,-0.14945,0.18066,0,0.13942,0.30246,0,0.067489,0.33789,0,-0.040729,0.043941,0
0.53362,0.38223,0.67532,5,153,2,22,-0.1011,0.19434,0,0.018083,0.35617,0,0.084459,0.3584,0,-0.085929,0.05273,0
0.56232,0.41406,0.64,6,153,2,22,-0.1101,0.18262,0,0.083494,0.42941,0,0.096372,0.36523,0,-0.057674,0.1748,0
0.72761,0.39648,0.4,1,154,1,23,-0.031701,0.21484,0,-0.0017815,0.53684,0,0.038985,0.41113,0,-0.053698,0.062495,0
0.68575,0.43984,0.59155,2,154,1,23,-0.024439,0.1748,0,0.1255,0.20969,0,0.11811,0.45996,0,-0.057147,0.10156,0
0.70493,0.45371,0.47436,3,154,1,23,-0.080605,0.17773,0,-0.42649,0.55148,0,0.16911,0.46191,0,-0.032614,0.14941,0
0.94004,0.60664,0.51948,4,154,1,23,-0.24242,0.2041,0,-0.41487,0.24875,0,0.023334,0.69043,0,-0.054726,0.00097264,1
0.85516,0.55039,0.5,5,154,1,23,-0.42916,0.20215,0,0.4947,0.2048,1,0.015489,0.49219,0,-0.10087,0.16113,0
0.85301,0.57832,0.48052,6,154,1,23,0.12638,0.24023,0,0.10402,0.5173,0,0.07882,0.46973,0,-0.044119,0.0029257,0
0.67567,0.48555,0.56579,1,154,2,24,-0.12774,0.20508,0,-0.1814,0.58566,0,0.06992,0.30078,0,-0.075322,0.13574,0
0.67347,0.43301,0.37838,2,154,2,24,-0.13233,0.20508,0,-0.52759,0.59543,1,0.1725,0.27539,1,-0.051974,0.18066,0
0.57026,0.37793,0.44643,3,154,2,24,-0.028038,0.19434,0,-0.19039,0.20969,0,0.050683,0.61816,0,-0.058991,0.051753,0
0.45485,0.35811,0.47619,4,154,2,24,-0.09595,0.21387,0,-0.41761,0.44895,0,0.0051522,0.68359,0,-0.04026,0.00097264,1
0.5869,0.41484,0.54795,5,154,2,24,-0.13334,0.2041,0,-0.19969,0.2048,1,0.13138,0.57617,0,-0.11253,0.031246,0
